ID,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1170,Jason and the Argonauts,1960s,104,1000000,7.2,2408,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0,0
1171,Jaws,1970s,130,12000000,8.2,46978,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,0,0,0,0
1172,Jaws 3-D,1980s,99,20500000,3.2,5028,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
1173,Jaws: The Revenge,1980s,91,23000000,2.6,5365,34.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
1174,Jay and Silent Bob Strike Back,2000s,104,22000000,6.9,24211,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,R,0,0,1,0,0,0,0
1175,Jeepers Creepers,2000s,90,10000000,5.4,10973,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
1176,Jeepers Creepers II,2000s,104,25000000,5.2,4069,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
1177,Jefferson in Paris,1990s,139,14000000,5.6,665,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
1178,Jerry Maguire,1990s,139,50000000,7.3,34623,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,1,0
1179,Jersey Girl,2000s,102,35000000,6.4,6853,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,0,0
1180,Jesus' Son,1990s,107,2500000,6.9,2291,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
1181,Jezebel,1930s,104,1250000,7.4,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
1182,Jimmy Hollywood,1990s,112,20000000,5.3,749,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,1,0,0,0
1183,Jimmy Neutron: Boy Genius,2000s,84,25000000,6,2280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,1,1,0,0,0,0
1184,Jing cha gu shi III: Chao ji jing cha,1990s,95,900000,6.7,2024,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,1,0,0,0,0
1185,Jing wu men,1970s,107,100000,6.7,1667,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,0,1,0,0,0
1186,Jingle All the Way,1990s,88,60000000,4.7,6246,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0
1187,Jisatsu saakuru,2000s,99,250000,6.8,1311,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,0,0,0,0
1188,Joe Dirt,2000s,91,16000000,5.1,5514,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
1189,Joe Somebody,2000s,98,38000000,5.5,1937,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,1,0
1190,Joe's Apartment,1990s,80,13000000,5,2169,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1191,John Q,2000s,116,36000000,6.4,8952,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
1192,Johnny English,2000s,87,35000000,5.6,8125,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0
1193,Johnny Mnemonic,1990s,96,26000000,4.7,8258,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
1194,Johnson Family Vacation,2000s,97,12000000,3.6,955,24.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1195,Jonah: A VeggieTales Movie,2000s,82,15000000,6.2,810,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,1,1,0,0,0,0
1196,Josie and the Pussycats,2000s,98,22000000,5.2,4508,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0,0
1197,Joy Ride,2000s,97,23000000,6.6,8132,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
1198,Judge Dredd,1990s,96,90000000,4.6,9979,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
1199,Judgment at Nuremberg,1960s,186,3000000,8.2,3336,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
1200,Jui kuen II,1990s,99,2000000,7.5,4628,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,1,0,1,0,0,0,0
1201,Jumanji,1990s,104,65000000,6,14874,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,1,0,1,0,0,0,0
1202,"Jungle Book 2, The",2000s,72,20000000,5.2,764,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,1,0,0,0,0,0
1203,"Jungle Book, The",1990s,111,27000000,5.9,1692,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,1,0
1204,Jungle Fever,1990s,132,14000000,6.4,2829,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
1205,Jurassic Park,1990s,127,63000000,7.4,57473,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0,0
1206,Jurassic Park III,2000s,92,93000000,5.6,20690,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
1207,"Juror, The",1990s,118,44000000,5.3,2920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
1208,Just Visiting,2000s,93,40000000,5.6,2212,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
1209,Juwanna Mann,2000s,91,15600000,3.9,885,24.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1210,K-19: The Widowmaker,2000s,140,100000000,6.6,8292,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
1211,K-PAX,2000s,120,48000000,7.2,17235,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
1212,Kafka,1990s,92,11000000,6.9,1751,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
1213,Kagemusha,1980s,162,6000000,7.9,3536,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
1214,Kalifornia,1990s,118,9000000,6.6,8113,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
1215,Kama Sutra: A Tale of Love,1990s,114,3000000,5.5,1491,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,1,0
1216,Kangaroo Jack,2000s,89,60000000,3.9,3661,24.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0
1217,Kansas City,1990s,116,19000000,5.8,1077,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
1218,Karakter,1990s,122,4500000,7.7,2687,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
1219,Kate & Leopold,2000s,123,48000000,6.3,8060,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
1220,"Keep, The",1980s,96,6000000,5.4,1217,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
1221,Keeping the Faith,2000s,128,30000000,6.8,11351,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,1,0,1,0
1222,"Kentucky Fried Movie, The",1970s,90,600000,6.4,3756,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
1223,"Kid, The",1920s,54,250000,8.2,2687,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,1,1,0,0,0
1224,"Kid, The",2000s,104,65000000,6.1,5418,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,0,0,1,1,0,0,0
1225,Kids,1990s,91,1500000,6.6,9099,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
1226,"Kids Are Alright, The",1970s,101,2000000,7.6,753,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,44.5,,0,0,0,0,1,0,0
1227,Kill Bill: Vol. 1,2000s,111,55000000,8.3,65026,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,1,0,0,1,0,0,0
1228,Kill Bill: Vol. 2,2000s,136,30000000,8.3,44189,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,1,0,0,1,0,0,0
1229,Kill Me Again,1980s,94,4000000,6.2,643,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
1230,Killer Klowns from Outer Space,1980s,88,2000000,5.3,2702,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
1231,Killer's Kiss,1950s,67,75000,6.6,1871,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
1232,Killing Me Softly,2000s,104,25000000,5.4,1771,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
1233,Killing Zoe,1990s,99,1500000,6.2,4834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
1234,"Killing, The",1950s,85,320000,8.1,6980,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
1235,King Arthur,2000s,140,90000000,6,14272,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
1236,King Kong,1930s,100,670000,7.9,10301,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,0,0,0,0
1237,King Kong,1970s,134,24000000,5.3,3181,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,1,0
1238,King Solomon's Mines,1980s,100,12500000,4.4,1662,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
1239,"King of Comedy, The",1980s,109,20000000,7.5,6189,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
1240,King of the Hill,1990s,109,8000000,7.4,1233,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
1241,Kingdom of Heaven,2000s,145,130000000,7,6498,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,R,1,0,0,1,0,0,0
1242,Kingpin,1990s,117,25000000,6.6,10643,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1243,Kinsey,2000s,118,11000000,7.6,3225,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0
1244,"Kiss Me, Stupid",1960s,125,3500000,7,712,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
1245,Kiss of the Dragon,2000s,98,25000000,6.2,7887,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
1246,Kiss the Girls,1990s,111,27000000,6.4,9041,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
1247,Kissing Jessica Stein,2000s,97,1000000,7,4236,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,1,0
1248,"Knight's Tale, A",2000s,132,41000000,6.5,15006,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,0,1,0,0,0,0
1249,Knock Off,1990s,91,35000000,3.8,1947,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
1250,Kontroll,2000s,107,500000,7.8,1174,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,R,0,0,0,0,0,0,0
1251,Kundun,1990s,128,28000000,7.1,4306,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
1252,Kung Pow: Enter the Fist,2000s,82,10000000,5.1,5871,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,PG-13,1,0,1,0,0,0,0
1253,L.A. Confidential,1990s,138,35000000,8.4,69600,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
1254,Labyrinth,1980s,101,25000000,7,12661,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
1255,Lady and the Tramp,1950s,75,4000000,7.4,6952,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,1,1,0,1,0
1256,"Lady from Shanghai, The",1940s,79,2000000,7.6,2377,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,1,0,0,0
1257,Lady in White,1980s,112,4700000,6.7,656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
1258,Ladyhawke,1980s,121,20000000,6.8,7090,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
1259,"Ladykillers, The",2000s,104,35000000,6.4,10580,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0
1260,"Lair of the White Worm, The",1980s,93,2500000,5.4,1716,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
1261,Lake Placid,1990s,82,27000000,5.2,7836,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,1,0,0,0,0
1262,"Land Before Time, The",1980s,70,12300000,6.4,3630,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,1,0,1,0,0,0
1263,Lara Croft Tomb Raider: The Cradle of Life,2000s,117,90000000,5.2,9103,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
1264,Lara Croft: Tomb Raider,2000s,100,80000000,5.2,21861,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
1265,Lashou shentan,1990s,131,4500000,7.9,6568,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,1,0,0,1,0,0,0
1266,Last Action Hero,1990s,130,60000000,5.4,15266,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,1,0,0,0,0
1267,"Last Broadcast, The",1990s,86,0,5.7,967,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
1268,"Last Castle, The",2000s,131,60000000,6.4,7233,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
1269,"Last Dragon, The",1980s,109,10000000,5.6,1343,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,,1,0,0,1,0,0,0
1270,"Last Emperor, The",1980s,219,25000000,7.7,9507,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
1271,"Last House on the Left, The",1970s,85,87000,5.5,2522,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
1272,Last Man Standing,1990s,101,67000000,5.7,6751,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
1273,Last Orders,2000s,109,12000000,7.1,1583,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0
1274,"Last Picture Show, The",1970s,118,1300000,8,5340,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
1275,"Last Samurai, The",2000s,154,100000000,7.9,31668,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,1,0,0,1,0,0,0
1276,"Last Seduction, The",1990s,110,2500000,7.2,4157,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
1277,"Last Starfighter, The",1980s,101,15000000,6.2,4890,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,1,0,0,0,0
1278,"Last Temptation of Christ, The",1980s,164,7000000,7.5,8074,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
1279,"Last of the Mohicans, The",1990s,117,40000000,7.5,15293,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,1,0
1280,Latter Days,2000s,107,850000,7.3,1396,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,R,0,0,1,1,0,1,0
1281,Lawn Dogs,1990s,101,8000000,7.5,1856,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
1282,"Lawnmower Man, The",1990s,140,10000000,5,5799,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
1283,Lawrence of Arabia,1960s,227,15000000,8.6,31230,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,,0,0,0,1,0,0,0
1284,Laws of Attraction,2000s,90,28000000,5.7,2349,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
1285,"League of Extraordinary Gentlemen, The",2000s,110,78000000,5.4,15647,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
1286,"League of Their Own, A",1990s,128,40000000,6.9,14318,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
1287,Leaving Las Vegas,1990s,111,4000000,7.5,18027,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,1,0
1288,Legal Eagles,1980s,116,35000000,5.6,2132,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,1,0
1289,Legally Blonde,2000s,96,18000000,6.4,17572,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1290,"Legally Blonde 2: Red, White & Blonde",2000s,95,45000000,4.4,6293,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1291,Legend,1980s,89,25000000,6.1,7744,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,1,0
1292,"Legend of Bagger Vance, The",2000s,126,60000000,6.4,7123,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,1,0
1293,Legends of the Fall,1990s,133,30000000,6.7,13327,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
1294,"Leggenda del pianista sull'oceano, La",1990s,120,9000000,7.6,3599,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
1295,Legionnaire,1990s,98,35000000,4.5,1773,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
1296,Lemony Snicket's A Series of Unfortunate Events,2000s,108,125000000,6.7,8402,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,0,0,0,0
1297,Leprechaun,1990s,92,900000,3.6,2288,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
1298,Leprechaun 2,1990s,86,2000000,3.6,648,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
1299,Lethal Weapon,1980s,117,15000000,7.5,20041,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,,1,0,1,0,0,0,0
1300,Lethal Weapon 4,1990s,127,140000000,6.3,17758,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0
1301,Levity,2000s,100,7500000,6.4,1459,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,R,0,0,0,1,0,0,0
1302,Liar Liar,1990s,86,45000000,6.5,22969,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
1303,Liberty Stands Still,2000s,92,11000000,5.6,1560,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
1304,Licence to Kill,1980s,133,40000000,6.2,8523,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
1305,License to Drive,1980s,88,8000000,5.3,2163,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
1306,Life,1990s,108,75000000,5.8,4857,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
1307,"Life Aquatic with Steve Zissou, The",2000s,118,25000000,7.3,9170,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,1,1,0,0,0
1308,"Life Less Ordinary, A",1990s,103,12000000,6.4,8209,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,1,0
1309,Life as a House,2000s,127,18000000,7.5,7696,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,1,1,0,0,0
1310,Life of Brian,1970s,94,4000000,8.1,33325,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,1,0,0,0,0
1311,"Life of David Gale, The",2000s,130,50000000,7.1,10580,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
1312,Lifeforce,1980s,101,25000000,5.6,2071,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
1313,Light It Up,1990s,99,13000000,5.7,856,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,0,0
1314,Light Sleeper,1990s,103,5000000,6.8,742,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
1315,Like Mike,2000s,99,30000000,4.9,1484,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0
1316,Lilies of the Field,1960s,94,240000,7.6,1391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,1,0,0,0
1317,Lilo & Stitch,2000s,86,80000000,7.3,10944,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,1,1,1,0,0,0
1318,Limbo,1990s,126,8300000,7.1,2063,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
1319,"Limey, The",1990s,89,9000000,7.2,7732,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0
1320,"Lion King, The",1990s,89,79300000,7.8,32924,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,1,1,0,0,0,0
1321,Lionheart,1990s,105,2500000,5.1,2123,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
1322,"List of Adrian Messenger, The",1960s,98,3000000,7,642,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
1323,Little Black Book,2000s,111,35000000,4.7,1894,24.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1,0
1324,Little Nicky,2000s,90,80000000,4.9,9485,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
1325,Little Odessa,1990s,98,2300000,6.5,1222,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
1326,Little Shop of Horrors,1980s,94,30000000,6.4,8911,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
1327,"Little Shop of Horrors, The",1960s,70,27000,6.2,1988,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
1328,Little Women,1930s,117,424000,7.4,989,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
1329,Live and Let Die,1970s,121,7000000,6.6,8022,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
1330,"Living Daylights, The",1980s,130,30000000,6.4,7495,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
1331,Living Out Loud,1990s,103,12000000,6.5,1774,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,1,0
1332,"Lizzie McGuire Movie, The",2000s,94,17000000,5,2541,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,PG,0,0,1,0,0,0,0
